Nom;Latitude;Longitude;Hauteur (m);surface;p_surface;r_surface
Wolfisheim;48.5928333;7.6701389;151;;;
Sarre Union;48.9324444;7.0949722;242;;;
Drulingen;48.8737222;7.1830833;289;;;
Petersbach;48.8697778;7.27325;376;;;
Wingen sur Moder;48.9198056;7.3764167;216;;;
Ingwiller;48.8700278;7.4820556;189;;;
Hochfelden;48.7587778;7.5694722;189;;;
Bouxwiller;48.83025;7.4863889;212;;;
Saverne;48.7410556;7.3699167;191;;;
Marmoutier;48.6879167;7.3761944;232;;;
Niederbronn les Bains;48.9451667;7.6497778;186;;;
Lembach;48.9988056;7.7860833;191;;;
Woerth;48.9404444;7.746;170;;;
Soultz sous For̻ts;48.9297222;7.8947778;168;;;
Soufflenheim;48.8321111;7.96175;123;;;
Haguenau;48.8221944;7.7798889;147;;;
Val de Moder;48.8485278;7.6133056;167;;;
Bischwiller;48.7723611;7.8465;138;;;
Brumath;48.7357778;7.712;150;;;
Strasbourg;48.6129167;7.7705278;136;67890;0.85;0.6
Strasbourg;48.5898056;7.7285833;144;67890;0.85;0.6
Strasbourg;48.5790833;7.7437778;139;67890;0.85;0.6
Illkirch Graffenstaden;48.5376667;7.7432778;142;;;
Wasselonne;48.6464444;7.4521944;196;;;
Truchtersheim;48.6611111;7.6055833;178;;;
Molsheim;48.5328056;7.5083056;174;;;
Urmatt;48.5261389;7.3355278;237;;;
Schirmeck;48.4760278;7.2169444;311;;;
Saales;48.3470556;7.1075556;557;;;
Obernai;48.4565278;7.4899444;178;;;
Erstein;48.4145833;7.6544722;156;;;
Boofzheim;48.3310833;7.6868889;158;;;
Benfeld;48.3710556;7.6012222;159;12345;0.75;0.5
Barr;48.4097222;7.4545;199;;;
Ville;48.3408056;7.2978056;271;;;
Sundhouse;48.2493333;7.6091667;168;;;
Selestat;48.2561111;7.4525;172;;;
Dambach la Ville;48.3267222;7.4238056;221;;;
Marckolsheim;48.1638611;7.5522222;176;;;
Diemeringen;48.9451389;7.1829167;239;;;
Rauwiller;48.8123889;7.10475;323;;;
Lupstein;48.7386389;7.4851667;185;;;
Schweighouse sur Moder;48.8177778;7.7291667;166;;;
Gambsheim;48.69875;7.8921111;128;;;
Vendenheim;48.6687778;7.7086667;152;;;
Bischheim;48.6129167;7.7571111;137;;;
Hoenheim;48.6285556;7.76;135;;;
Illkirch Graffenstaden;48.5297222;7.7102222;144;;;
Lingolsheim;48.5596667;7.6927778;142;;;
Fegersheim;48.4905833;7.6968611;146;;;
Marlenheim;48.6195;7.4891111;185;;;
Mutzig;48.5368333;7.453;191;;;
